"name","birth","death","won_award","country","age","field","profession"
"Hans Carl Friedrich von Mangoldt",1850,"1925",0,"DEU",75,"Number Theory","Researcher"
"Benoit Mandelbrot",1920,"2010",1,"JAM",90,"Physics","Researcher"
"Vladimir Smirnov (mathematician)",1880,"1974",1,"RUS",94,"Analysis","Researcher"
"Gaspard Monge",1740,"1818",1,"FRA",78,"Geometry","Researcher"
"Stanislaw Zaremba (mathematician)",1860,"1942",0,"UKR",82,"Analysis","Researcher"
"Élisabeth Lutz",1910,"2008",0,"AUT",98,"Number Theory","Researcher"
"Alexander Oppenheim",1900,"1997",1,"GBR",97,"Number Theory","Researcher"
"Ludwig Burmester",1840,"1927",0,"DEU",87,"Geometry","Researcher"
"Siméon Denis Poisson",1780,"1840",1,"FRA",60,"Analysis","Researcher"
"Johann Jakob Balmer",1820,"1898",0,"CHE",78,"General","Physicist"
"Wu Wenjun",1910,"2017",1,"CHN",107,"Topology","Researcher"
"Wilhelm Launhardt",1830,"1918",0,"CAN",88,"General","Researcher"
"Charles Jean de la Vallée-Poussin",1860,"1962",1,"BEL",102,"Number Theory","Researcher"
"Giacomo F. Maraldi",1660,"1729",0,"ITA",69,"Physics","Astronomer"
"Gerhard Hessenberg",1870,"1925",0,"DEU",55,"Geometry","Researcher"
"Viacheslav Belavkin",1940,"2012",0,"UKR",72,"Applied Mathematics","Researcher"
"Peter Hilton",1920,"2010",0,"BLZ",90,"Topology","Researcher"
"Srinivasa Ramanujan",1880,"1920",1,"IND",40,"Combinatorics","Researcher"
"Aleksandr Nekrasov",1880,"1957",1,"RUS",77,"Applied Mathematics","Researcher"
"Atle Selberg",1910,"2007",1,"NOR",97,"Number Theory","Researcher"
"Farkas Bolyai",1770,"1856",0,"ERI",86,"General","Researcher"
"Miron Nicolescu",1900,"1975",0,"ROU",75,"General","Researcher"
"Roland Dobrushin",1920,"1995",0,"RUS",75,"Probability","Researcher"
"Nesmith Ankeny",1920,"1993",0,"AUS",73,"Number Theory","Researcher"
"Boris Yakovlevich Bukreev",1850,"1962",1,"RUS",112,"Analysis","Researcher"
"Leonid Khachiyan",1950,"2005",1,"RUS",55,"Applied Mathematics","Researcher"
"Adolph P. Yushkevich",1900,"1993",1,"UKR",93,"Applied Mathematics","Researcher"
"Herbert A. Simon",1910,"2001",1,"USA",91,"Applied Mathematics","Economist"
"Alexander Abrosimov",1940,"2011",0,"ETH",71,"Analysis","Researcher"
"Giovanni Antonio Magini",1550,"1617",0,"BGD",67,"Physics","Astronomer"
"William George Horner",1780,"1837",0,"CAN",57,"General","Researcher"
"Garrett Birkhoff",1910,"1996",1,"CAN",86,"None","Researcher"
"Allyn Abbott Young",1870,"1929",0,"GBR",59,"Applied Mathematics","Economist"
"Henry Mann",1900,"2000",1,"AUT",100,"Algebra","Researcher"
"Lorenzo Respighi",1820,"1889",0,"ITA",69,"Physics","Researcher"
"Reinhold Baer",1900,"1979",0,"COL",79,"None","Researcher"
"Duncan Sommerville",1870,"1934",1,"IND",64,"Geometry","Researcher"
"Heini Halberstam",1920,"2014",0,"BEL",94,"Number Theory","Researcher"
"Armand Borel",1920,"2003",1,"CHE",83,"Topology","Researcher"
"Augustin-Louis Cauchy",1770,"1857",1,"CAN",87,"Analysis","Researcher"
"Karl Prachar",1920,"1994",0,"AUT",74,"Number Theory","Researcher"
"Yasuaki Aida",1740,"1817",0,"JPN",77,"Geometry","Researcher"
"Julius Weisbach",1800,"1871",0,"DEU",71,"Physics","Researcher"
"Naum Meiman",1910,"2001",1,"BLR",91,"Physics","Researcher"
"Paul Émile Appell",1850,"1930",1,"BEL",80,"Analysis","Researcher"
"Viktor Vladimirovich Nemytskii",1900,"1967",1,"RUS",67,"Analysis","Researcher"
"Manohar Vartak",1920,"1997",0,"IND",77,"Combinatorics","Researcher"
"John William Theodore Youngs",1910,"1970",1,"BGD",60,"Combinatorics","Researcher"
"Andrey Markov",1850,"1922",1,"RUS",72,"Probability","Researcher"
"Ronald Fisher",1890,"1962",1,"BLZ",72,"Statistics","Researcher"
"Alfred Korzybski",1870,"1950",0,"JAM",80,"Applied Mathematics","Researcher"
"Ernst G. Straus",1920,"1983",0,"DEU",63,"Combinatorics","Researcher"
"Luigi Bodio",1840,"1920",0,"AFG",80,"Statistics","Economist"
"George Pólya",1880,"1985",0,"HUN",105,"Analysis","Researcher"
"Enrico Betti",1820,"1892",0,"ITA",72,"Topology","Researcher"
"Richard Dedekind",1830,"1916",0,"AUS",86,"None","Researcher"
"Vyacheslav Vasilievich Sazonov",1930,"2002",1,"RUS",72,"Probability","Researcher"
"Ludwig Berwald",1880,"1942",0,"CZE",62,"Geometry","Researcher"
"Karl Menger",1900,"1985",1,"AUT",85,"General","Researcher"
"Evgenii Georgievich Dyakonov",1930,"2006",1,"RUS",76,"Physics","Researcher"
"Robin Gandy",1910,"1995",0,"GBR",85,"Logic","Researcher"
"Leonard Jimmie Savage",1910,"1971",1,"USA",61,"General","Researcher"
"Kurt Mahler",1900,"1988",1,"DEU",88,"Analysis","Researcher"
"Vladimir Markovich Entov",1930,"2008",0,"RUS",78,"Applied Mathematics","Researcher"
"Tommaso Boggio",1870,"1963",0,"ITA",93,"Analysis","Researcher"
"Isidor Natanson",1900,"1964",0,"CHE",64,"Analysis","Researcher"
"Daihachiro Sato",1930,"2008",0,"JPN",78,"Number Theory","Researcher"
"János Bolyai",1800,"1860",0,"ROU",60,"Geometry","Researcher"
"William Thurston",1940,"2012",1,"ARG",72,"Topology","Researcher"
"Vasili Yakovlevich Zinger",1830,"1907",0,"RUS",77,"General","Philosopher"
"Richard Courant",1880,"1972",1,"POL",92,"Analysis","Researcher"
"Alberto González Domínguez",1900,"1982",1,"ARG",82,"Analysis","Researcher"
"Allan Joseph Champneys Cunningham",1840,"1928",0,"CAN",88,"Number Theory","Researcher"
"Mario Pieri",1860,"1913",0,"ITA",53,"Geometry","Researcher"
"Fokko du Cloux",1950,"2006",0,"DEU",56,"Computer Science","Researcher"
"Ralph P. Boas Jr.",1910,"1992",1,"AUS",82,"Analysis","Researcher"
"Reinhold Strassmann",1890,"1944",0,"COL",54,"Number Theory","Researcher"
"Robert Woodhouse",1770,"1827",1,"CAN",57,"Analysis","Researcher"
"John Hasbrouck Van Vleck",1890,"1980",1,"AUS",90,"Physics","Researcher"
"Samuel Karlin",1920,"2007",1,"USA",87,"Applied Mathematics","Researcher"
"Hendrik Kloosterman",1900,"1968",0,"NLD",68,"Number Theory","Researcher"
"Daniel Shanks",1910,"1996",0,"BLZ",86,"Number Theory","Researcher"
"Alfréd Rényi",1920,"1970",1,"HUN",50,"Probability","Researcher"
"Pierre Fatou",1870,"1929",1,"FRA",59,"Analysis","Researcher"
"Jean le Rond dAlembert",1710,"1783",1,"CAN",73,"General","Philosopher"
"Blaise Pascal",1620,"1662",0,"FRA",42,"Probability","Researcher"
"Ivan Petrovsky",1900,"1973",1,"RUS",73,"Analysis","Researcher"
"Basil Gordon",1930,"2012",0,"COL",82,"Combinatorics","Researcher"
"Jurij Vega",1750,"1802",0,"SVN",52,"Computer Science","Researcher"
"Jacques Hadamard",1860,"1963",1,"ARG",103,"Analysis","Researcher"
"Vladimir Arnold",1930,"2010",1,"UKR",80,"Analysis","Researcher"
"Felix Gantmacher",1900,"1964",1,"UKR",64,"Analysis","Researcher"
"Georges Reeb",1920,"1993",0,"FRA",73,"General","Researcher"
"Galileo Galilei",1560,"1642",0,"COL",82,"Physics","Astronomer"
"Thomas Fincke",1560,"1656",0,"DEU",96,"Geometry","Researcher"
"Cesare Arzelà",1840,"1912",0,"ITA",72,"Analysis","Researcher"
"Pelageya Polubarinova-Kochina",1890,"1999",1,"KAZ",109,"Physics","Researcher"
"Eugenio Giuseppe Togliatti",1890,"1977",0,"ITA",87,"General","Researcher"
"Dmitrii Menshov",1890,"1988",1,"RUS",98,"Analysis","Researcher"
"Aleksandr Kotelnikov",1860,"1944",1,"AFG",84,"Geometry","Researcher"
"David A. Huffman",1920,"1999",1,"AUS",79,"Computer Science","Computer Scientist"
"Paul Lévy (mathematician)",1880,"1971",1,"CAN",91,"Probability","Researcher"
"Friedrich Hirzebruch",1920,"2012",1,"DEU",92,"General","Researcher"
"Anatoliy Skorokhod",1930,"2011",1,"BGR",81,"Probability","Researcher"
"W. R. (Red) Alford",1930,"2003",0,"CHN",73,"Number Theory","Researcher"
"Hermann Minkowski",1860,"1909",1,"LTU",49,"Geometry","Physicist"
"Nigel Kalton",1940,"2010",0,"AUS",70,"Applied Mathematics","Researcher"
"Edwin Hewitt",1920,"1999",1,"USA",79,"Analysis","Researcher"
